Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,36
22-Feb,55
23-Feb,75
24-Feb,89
25-Feb,196
26-Feb,279
27-Feb,289
28-Feb,357
29-Feb,372
1-Mar,406
2-Mar,640
3-Mar,810
4-Mar,1078
5-Mar,1307
6-Mar,1550
7-Mar,1409
8-Mar,1477
9-Mar,2232
10-Mar,2461
11-Mar,2773
12-Mar,3138
13-Mar,4122
14-Mar,3562
15-Mar,2861
16-Mar,4809
17-Mar,5315
18-Mar,5676
19-Mar,5651
20-Mar,6197
21-Mar,4877
22-Mar,3927
23-Mar,6056
24-Mar,5851
25-Mar,5739
26-Mar,5598
27-Mar,5715
28-Mar,4502
29-Mar,2943
30-Mar,5077
31-Mar,5291
1-Apr,4979
2-Apr,4668
3-Apr,4400
4-Apr,3640
5-Apr,2588
6-Apr,4054
7-Apr,4176
8-Apr,4750
9-Apr,4658
10-Apr,5125
11-Apr,3382
12-Apr,1891
13-Apr,2213
14-Apr,3275
15-Apr,3971
16-Apr,3620
17-Apr,3465
18-Apr,2641
19-Apr,1356
20-Apr,2997
21-Apr,3021
22-Apr,2593
23-Apr,2812
24-Apr,2671
25-Apr,1662
26-Apr,1015
27-Apr,1945
28-Apr,2227
29-Apr,2286
30-Apr,2257
1-May,1107
2-May,990
3-May,513
4-May,1429
5-May,1536
6-May,1404
7-May,1356
8-May,1336
9-May,742
10-May,347
11-May,878
12-May,878
13-May,869
14-May,849
15-May,761
16-May,581
17-mag,250
18-mag,635
19-mag,703
20-mag,645
21-mag,591
22-mag,679
23-mag,347
24-mag,133
25-mag,513
26-mag,533
27-mag,469
28-mag,474
29-mag,245
30-mag,119
31-mag,21
