Date,Freq.
21-Feb,33
22-Feb,52
23-Feb,77
24-Feb,86
25-Feb,179
26-Feb,237
27-Feb,286
28-Feb,364
29-Feb,393
1-Mar,413
2-Mar,632
3-Mar,807
4-Mar,1070
5-Mar,1299
6-Mar,1542
7-Mar,1396
8-Mar,1464
9-Mar,2219
10-Mar,2409
11-Mar,2749
12-Mar,3115
13-Mar,4098
14-Mar,3533
15-Mar,2837
16-Mar,4789
17-Mar,5291
18-Mar,5651
19-Mar,5656
20-Mar,6192
21-Mar,4872
22-Mar,3933
23-Mar,6045
24-Mar,5870
25-Mar,5753
26-Mar,5573
27-Mar,5675
28-Mar,4483
29-Mar,2939
30-Mar,5057
31-Mar,5305
1-Apr,5013
2-Apr,4682
3-Apr,4376
4-Apr,3636
5-Apr,2599
6-Apr,4035
7-Apr,4161
8-Apr,4736
9-Apr,4663
10-Apr,5116
11-Apr,3392
12-Apr,1868
13-Apr,2170
14-Apr,3227
15-Apr,3962
16-Apr,3592
17-Apr,3465
18-Apr,2647
19-Apr,1347
20-Apr,2988
21-Apr,3012
22-Apr,2584
23-Apr,2818
24-Apr,2647
25-Apr,1674
26-Apr,1026
27-Apr,1927
28-Apr,2238
29-Apr,2263
30-Apr,2253
1-May,1114
2-May,992
3-May,525
4-May,1415
5-May,1532
6-May,1347
7-May,1328
8-May,1308
9-May,710
10-May,335
11-May,846
12-May,831
13-May,763
14-May,680
15-May,495
16-May,213
