Date,Freq.
29-gen,8
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,8
21-Feb,37
22-Feb,57
23-Feb,76
24-Feb,91
25-Feb,198
26-Feb,281
27-Feb,291
28-Feb,364
29-Feb,373
1-Mar,408
2-Mar,641
3-Mar,812
4-Mar,1080
5-Mar,1309
6-Mar,1558
7-Mar,1411
8-Mar,1480
9-Mar,2230
10-Mar,2459
11-Mar,2771
12-Mar,3141
13-Mar,4126
14-Mar,3560
15-Mar,2859
16-Mar,4808
17-Mar,5319
18-Mar,5675
19-Mar,5656
20-Mar,6201
21-Mar,4876
22-Mar,3926
23-Mar,6060
24-Mar,5855
25-Mar,5739
26-Mar,5602
27-Mar,5714
28-Mar,4496
29-Mar,2946
30-Mar,5076
31-Mar,5295
1-Apr,4983
2-Apr,4671
3-Apr,4398
4-Apr,3643
5-Apr,2591
6-Apr,4053
7-Apr,4174
8-Apr,4749
9-Apr,4666
10-Apr,5125
11-Apr,3385
12-Apr,1894
13-Apr,2211
14-Apr,3263
15-Apr,3970
16-Apr,3619
17-Apr,3463
18-Apr,2644
19-Apr,1358
20-Apr,3005
21-Apr,3024
22-Apr,2596
23-Apr,2820
24-Apr,2678
25-Apr,1665
26-Apr,1017
27-Apr,1947
28-Apr,2235
29-Apr,2279
30-Apr,2259
1-May,1104
2-May,992
3-May,510
4-May,1426
5-May,1538
6-May,1407
7-May,1363
8-May,1343
9-May,744
10-May,349
11-May,880
12-May,880
13-May,861
14-May,851
15-May,763
16-May,588
17-mag,247
18-mag,656
19-mag,700
20-mag,646
21-mag,583
22-mag,671
23-mag,330
24-mag,130
25-mag,461
26-mag,447
27-mag,144
28-mag,
29-mag,
