Date,Freq.
29-Jan,11
30-Jan,16
31-Jan,16
1-Feb,50
2-Feb,31
3-Feb,26
4-Feb,21
5-Feb,26
6-Feb,26
7-Feb,21
8-Feb,11
9-Feb,16
10-Feb,60
11-Feb,26
12-Feb,41
13-Feb,45
14-Feb,65
15-Feb,143
16-Feb,84
17-Feb,128
18-Feb,167
19-Feb,128
20-Feb,401
21-Feb,308
22-Feb,386
23-Feb,533
24-Feb,693
25-Feb,844
26-Feb,805
27-Feb,893
28-Feb,1200
29-Feb,1073
1-Mar,2442
2-Mar,1911
3-Mar,2223
4-Mar,1940
5-Mar,2637
6-Mar,2982
7-Mar,3138
8-Mar,3601
9-Mar,4434
10-Mar,6056
11-Mar,4224
12-Mar,4736
13-Mar,5174
14-Mar,4614
15-Mar,5598
16-Mar,5101
17-Mar,4239
18-Mar,4643
19-Mar,3981
20-Mar,5875
21-Mar,3528
22-Mar,3469
23-Mar,4059
24-Mar,3236
25-Mar,3547
26-Mar,2982
27-Mar,3240
28-Mar,2826
29-Mar,2179
30-Mar,3333
31-Mar,2364
1-Apr,3723
2-Apr,2369
3-Apr,2515
4-Apr,2067
5-Apr,1828
6-Apr,2140
7-Apr,1960
8-Apr,1901
9-Apr,1726
10-Apr,2495
11-Apr,1360
12-Apr,1463
13-Apr,1351
14-Apr,1536
15-Apr,1901
16-Apr,1482
17-Apr,1356
18-Apr,1093
19-Apr,786
20-Apr,1750
21-Apr,1054
22-Apr,1010
23-Apr,956
24-Apr,873
25-Apr,727
26-Apr,571
27-Apr,1005
28-Apr,752
29-Apr,781
30-Apr,664
1-May,513
2-May,420
3-May,294
4-May,474
5-May,459
6-May,508
7-May,435
8-May,498
9-May,231
10-May,260
11-May,367
12-May,401
13-May,367
14-May,299
15-May,289
16-May,216
17-May,133
18-May,299
19-May,226
20-May,284
21-May,216
22-May,270
23-May,138
24-May,80
25-May,153
26-May,157
27-May,143
28-May,65
29-May,26
