Date,Freq.
29-Jan,8
30-Jan,13
31-Jan,13
01-feb,37
02-feb,27
03-feb,17
04-feb,17
05-feb,22
06-feb,22
07-feb,17
08-feb,8
09-feb,13
10-feb,56
11-feb,22
12-feb,37
13-feb,42
14-feb,61
15-feb,130
16-feb,76
17-feb,125
18-feb,164
19-feb,125
20-feb,393
21-feb,305
22-feb,383
23-feb,525
24-feb,686
25-feb,827
26-feb,793
27-feb,876
28-feb,1179
29-feb,1066
01-mar,2364
02-mar,1891
03-mar,2189
04-mar,1915
05-mar,2584
06-mar,2945
07-mar,3077
08-mar,3545
09-mar,4360
10-mar,5975
11-mar,4184
12-mar,4682
13-mar,5126
14-mar,4550
15-mar,5516
16-mar,5038
17-mar,4131
18-mar,4555
19-mar,3935
20-mar,5794
21-mar,3482
22-mar,3428
23-mar,4018
24-mar,3160
25-mar,3482
26-mar,2911
27-mar,3140
28-mar,2730
29-mar,2120
30-mar,3213
31-mar,2281
01-apr,3648
02-apr,2311
03-apr,2477
04-apr,2057
05-apr,1798
06-apr,2115
07-apr,1935
08-apr,1872
09-apr,1667
10-apr,2398
11-apr,1286
12-apr,1413
13-apr,1330
14-apr,1506
15-apr,1813
16-apr,1423
17-apr,1310
18-apr,1057
19-apr,759
20-apr,1676
21-apr,1023
22-apr,959
23-apr,871
24-apr,827
25-apr,701
26-apr,544
27-apr,984
28-apr,701
29-apr,676
30-apr,632
1-May,486
2-May,393
3-May,261
4-May,427
5-May,447
6-May,481
7-May,403
8-May,481
9-May,218
10-May,237
11-May,344
12-May,379
13-May,330
14-May,247
15-May,218
16-May,183
17-May,105
18-May,222
19-May,169
20-May,188
21-May,61
22-May,37
23-May,17
24-May,
25-May,
