data,inizio sintomi,prelievo/diagnosi
28/01/2020,9,
29/01/2020,11,2
30/01/2020,17,
31/01/2020,16,
01/02/2020,63,
02/02/2020,29,
03/02/2020,25,
04/02/2020,21,
05/02/2020,28,
06/02/2020,26,1
07/02/2020,20,
08/02/2020,11,
09/02/2020,14,
10/02/2020,63,
11/02/2020,25,
12/02/2020,42,
13/02/2020,47,
14/02/2020,65,
15/02/2020,147,
16/02/2020,80,
17/02/2020,135,
18/02/2020,168,
19/02/2020,131,
20/02/2020,415,3
21/02/2020,312,34
22/02/2020,392,54
23/02/2020,539,75
24/02/2020,716,87
25/02/2020,858,195
26/02/2020,824,279
27/02/2020,920,285
28/02/2020,1254,358
29/02/2020,1102,368
01/03/2020,2577,410
02/03/2020,1982,638
03/03/2020,2310,813
04/03/2020,2005,1085
05/03/2020,2714,1312
06/03/2020,3017,1544
07/03/2020,3197,1415
08/03/2020,3706,1469
09/03/2020,4508,2238
10/03/2020,6266,2486
11/03/2020,4308,2785
12/03/2020,4837,3171
13/03/2020,5285,4127
14/03/2020,4694,3562
15/03/2020,5851,2870
16/03/2020,5210,4838
17/03/2020,4301,5319
18/03/2020,4689,5690
19/03/2020,4030,5675
20/03/2020,5956,6220
21/03/2020,3560,4898
22/03/2020,3508,3935
23/03/2020,4127,6061
24/03/2020,3314,5878
25/03/2020,3650,5770
26/03/2020,3060,5656
27/03/2020,3337,5737
28/03/2020,2934,4513
29/03/2020,2241,2945
30/03/2020,3405,5096
31/03/2020,2400,5310
01/04/2020,3848,4989
02/04/2020,2449,4700
03/04/2020,2594,4441
04/04/2020,2127,3645
05/04/2020,1867,2584
06/04/2020,2216,4050
07/04/2020,2054,4190
08/04/2020,1956,4751
09/04/2020,1817,4678
10/04/2020,2582,5119
11/04/2020,1429,3382
12/04/2020,1507,1914
13/04/2020,1382,2226
14/04/2020,1623,3300
15/04/2020,1992,3954
16/04/2020,1541,3661
17/04/2020,1435,3463
18/04/2020,1212,2655
19/04/2020,881,1376
20/04/2020,1887,3050
21/04/2020,1173,3048
22/04/2020,1114,2597
23/04/2020,1149,2820
24/04/2020,1008,2690
25/04/2020,780,1658
26/04/2020,609,1019
27/04/2020,1116,1952
28/04/2020,838,2227
29/04/2020,911,2304
30/04/2020,847,2266
01/05/2020,575,1105
02/05/2020,457,997
03/05/2020,316,511
04/05/2020,605,1441
05/05/2020,605,1542
06/05/2020,583,1428
07/05/2020,518,1387
08/05/2020,516,1380
09/05/2020,267,734
10/05/2020,305,337
11/05/2020,402,882
12/05/2020,454,928
13/05/2020,402,886
14/05/2020,358,900
15/05/2020,351,789
16/05/2020,261,616
17/05/2020,155,300
18/05/2020,330,654
19/05/2020,264,722
20/05/2020,349,667
21/05/2020,268,612
22/05/2020,306,685
23/05/2020,149,363
24/05/2020,95,147
25/05/2020,213,512
26/05/2020,225,541
27/05/2020,255,536
28/05/2020,198,519
29/05/2020,187,393
30/05/2020,149,285
31/05/2020,48,91
01/06/2020,206,388
02/06/2020,47,86
03/06/2020,160,354
04/06/2020,161,369
05/06/2020,204,384
06/06/2020,105,199
07/06/2020,65,82
08/06/2020,184,294
09/06/2020,177,357
10/06/2020,152,399
11/06/2020,200,440
12/06/2020,176,365
13/06/2020,93,214
14/06/2020,82,67
15/06/2020,165,276
16/06/2020,125,272
17/06/2020,145,302
18/06/2020,121,236
19/06/2020,140,288
20/06/2020,84,155
21/06/2020,51,52
22/06/2020,124,313
23/06/2020,106,286
24/06/2020,91,194
25/06/2020,83,195
26/06/2020,116,184
27/06/2020,74,117
28/06/2020,38,62
29/06/2020,117,239
30/06/2020,79,194
01/07/2020,112,230
02/07/2020,89,223
03/07/2020,89,217
04/07/2020,21,189
05/07/2020,11,66
06/07/2020,23,59
07/07/2020,1,7
08/07/2020,,
