Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,37
22-Feb,56
23-Feb,75
24-Feb,90
25-Feb,202
26-Feb,275
27-Feb,290
28-Feb,363
29-Feb,373
1-Mar,407
2-Mar,635
3-Mar,816
4-Mar,1079
5-Mar,1308
6-Mar,1556
7-Mar,1410
8-Mar,1478
9-Mar,2233
10-Mar,2442
11-Mar,2759
12-Mar,3148
13-Mar,4127
14-Mar,3557
15-Mar,2861
16-Mar,4804
17-Mar,5315
18-Mar,5671
19-Mar,5651
20-Mar,6197
21-Mar,4872
22-Mar,3928
23-Mar,6056
24-Mar,5856
25-Mar,5734
26-Mar,5588
27-Mar,5710
28-Mar,4492
29-Mar,2949
30-Mar,5072
31-Mar,5286
1-Apr,4979
2-Apr,4668
3-Apr,4395
4-Apr,3640
5-Apr,2593
6-Apr,4040
7-Apr,4161
8-Apr,4746
9-Apr,4668
10-Apr,5121
11-Apr,3397
12-Apr,1882
13-Apr,2208
14-Apr,3255
15-Apr,3971
16-Apr,3621
17-Apr,3460
18-Apr,2637
19-Apr,1356
20-Apr,2997
21-Apr,3027
22-Apr,2598
23-Apr,2817
24-Apr,2671
25-Apr,1663
26-Apr,1015
27-Apr,1945
28-Apr,2233
29-Apr,2272
30-Apr,2262
1-May,1103
2-May,991
3-May,509
4-May,1424
5-May,1541
6-May,1405
7-May,1356
8-May,1337
9-May,738
10-May,348
11-May,879
12-May,879
13-May,860
14-May,850
15-May,757
16-May,582
17-mag,270
18-mag,655
19-mag,650
20-mag,597
21-mag,528
22-mag,572
23-mag,299
24-mag,105
25-mag,129
