Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,36
22-Feb,56
23-Feb,75
24-Feb,90
25-Feb,197
26-Feb,280
27-Feb,290
28-Feb,358
29-Feb,373
1-Mar,407
2-Mar,641
3-Mar,811
4-Mar,1079
5-Mar,1308
6-Mar,1552
7-Mar,1410
8-Mar,1479
9-Mar,2234
10-Mar,2463
11-Mar,2775
12-Mar,3145
13-Mar,4129
14-Mar,3564
15-Mar,2862
16-Mar,4811
17-Mar,5318
18-Mar,5679
19-Mar,5659
20-Mar,6132
21-Mar,4880
22-Mar,3930
23-Mar,6064
24-Mar,5859
25-Mar,5742
26-Mar,5611
27-Mar,5723
28-Mar,4495
29-Mar,2945
30-Mar,5079
31-Mar,5299
1-Apr,4987
2-Apr,4675
3-Apr,4402
4-Apr,3647
5-Apr,2590
6-Apr,4051
7-Apr,4183
8-Apr,4753
9-Apr,4665
10-Apr,5133
11-Apr,3389
12-Apr,1888
13-Apr,2214
14-Apr,3277
15-Apr,3973
16-Apr,3623
17-Apr,3467
18-Apr,2643
19-Apr,1362
20-Apr,3009
21-Apr,3028
22-Apr,2594
23-Apr,2814
24-Apr,2682
25-Apr,1664
26-Apr,1016
27-Apr,1951
28-Apr,2229
29-Apr,2297
30-Apr,2263
1-May,1108
2-May,991
3-May,514
4-May,1435
5-May,1537
6-May,1406
7-May,1362
8-May,1347
9-May,743
10-May,348
11-May,884
12-May,879
13-May,870
14-May,850
15-May,767
16-May,582
17-mag,251
18-mag,636
19-mag,704
20-mag,645
21-mag,597
22-mag,680
23-mag,348
24-mag,134
25-mag,514
26-mag,563
27-mag,494
28-mag,499
29-mag,304
30-mag,182
31-mag,75
01-giu,178
