Date,Freq.
29-Jan,13
30-Jan,13
31-Jan,13
1-Feb,53
2-Feb,28
3-Feb,23
4-Feb,18
5-Feb,28
6-Feb,23
7-Feb,18
8-Feb,9
9-Feb,13
10-Feb,62
11-Feb,23
12-Feb,38
13-Feb,43
14-Feb,62
15-Feb,141
16-Feb,82
17-Feb,126
18-Feb,165
19-Feb,131
20-Feb,405
21-Feb,307
22-Feb,380
23-Feb,512
24-Feb,688
25-Feb,840
26-Feb,762
27-Feb,889
28-Feb,1212
29-Feb,1075
1-Mar,2513
2-Mar,1950
3-Mar,2253
4-Mar,1970
5-Mar,2669
6-Mar,2992
7-Mar,3168
8-Mar,3652
9-Mar,4464
10-Mar,6196
11-Mar,4283
12-Mar,4816
13-Mar,5256
14-Mar,4679
15-Mar,5770
16-Mar,5212
17-Mar,4298
18-Mar,4699
19-Mar,4014
20-Mar,5956
21-Mar,3564
22-Mar,3515
23-Mar,4112
24-Mar,3276
25-Mar,3603
26-Mar,3041
27-Mar,3295
28-Mar,2904
29-Mar,2219
30-Mar,3359
31-Mar,2386
1-Apr,3765
2-Apr,2400
3-Apr,2522
4-Apr,2087
5-Apr,1852
6-Apr,2195
7-Apr,2024
8-Apr,1911
9-Apr,1755
10-Apr,2469
11-Apr,1398
12-Apr,1481
13-Apr,1344
14-Apr,1588
15-Apr,1916
16-Apr,1442
17-Apr,1383
18-Apr,1109
19-Apr,879
20-Apr,1671
21-Apr,1065
22-Apr,997
23-Apr,1050
24-Apr,913
25-Apr,732
26-Apr,571
27-Apr,957
28-Apr,718
29-Apr,801
30-Apr,728
1-May,542
2-May,385
3-May,287
4-May,517
5-May,517
6-May,468
7-May,439
8-May,434
9-May,234
10-May,287
11-May,341
12-May,371
13-May,336
14-May,302
15-May,297
16-May,204
17-May,146
18-May,273
19-May,219
20-May,282
21-May,219
22-May,263
23-May,121
24-May,77
25-May,170
26-May,190
27-May,199
28-May,175
29-May,155
30-May,126
31-May,43
1-Jun,165
2-Jun,43
3-Jun,126
4-Jun,111
5-Jun,150
6-Jun,82
7-Jun,57
8-Jun,136
9-Jun,121
10-Jun,106
11-Jun,150
12-Jun,116
13-Jun,48
14-Jun,57
15-Jun,92
16-Jun,57
17-Jun,33
18-Jun,23
19-Jun,
20-Jun,
21-Jun,
22-Jun,
